Document Name: lei-qpcr-2 
Plate Type: Standard Curve
User: oxygraph

Document Information

Operator: oxygraph
Run Date: Tuesday, March 15, 2016 15:39:00
Last Modified: Wednesday, March 16, 2016 11:16:33
Instrument Type: Applied Biosystems 7500 Fast Real-Time PCR System

Comments:
SDS v1.4

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,95.0 °C,10:00,Auto,,
2,1,95.0 °C,0:20,Auto,,
3,40,95.0 °C,0:03,Auto,,
,,60.0 °C,0:30,Auto,,
Fast 7500 Mode
Data Collection :  Stage 3 Step 2
PCR Volume: 20 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,Si1_del_M1,DNAJ-H In 1 SYBR,Unknown,27.5853,,,,,,
A2,Si1_del_M1,SIr2,Unknown,Undetermined,,,,,,
A3,Si1_del_M1,$GAPDH,Unknown,17.1279,,,,,,
A4,Si1_del_M2,DNAJ-H In 1 SYBR,Unknown,29.1851,,,,,,
A5,Si1_del_M2,SIr2,Unknown,35.9943,,,,,,
A6,Si1_del_M2,$GAPDH,Unknown,18.2677,,,,,,
A7,Si1_del_F1,DNAJ-H In 1 SYBR,Unknown,27.7648,,,,,,
A8,Si1_del_F1,SIr2,Unknown,35.207,,,,,,
A9,Si1_del_F1,$GAPDH,Unknown,18.1557,,,,,,
A10,Si1_del_F2,DNAJ-H In 1 SYBR,Unknown,28.3761,,,,,,
A11,Si1_del_F2,SIr2,Unknown,34.9934,,,,,,
A12,Si1_del_F2,$GAPDH,Unknown,17.4191,,,,,,
B1,SM21_del_M1,DNAJ-H In 1 SYBR,Unknown,30.8036,,,,,,
B2,SM21_del_M1,SIr2,Unknown,34.4379,,,,,,
B3,SM21_del_M1,$GAPDH,Unknown,18.9071,,,,,,
B4,SM21_del_M2,DNAJ-H In 1 SYBR,Unknown,27.3413,,,,,,
B5,SM21_del_M2,SIr2,Unknown,Undetermined,,,,,,
B6,SM21_del_M2,$GAPDH,Unknown,17.3304,,,,,,
B7,SM21_del_F1,DNAJ-H In 1 SYBR,Unknown,27.854,,,,,,
B8,SM21_del_F1,SIr2,Unknown,34.6236,,,,,,
