Document Name: QPCR_rep1 
Plate Type: Standard Curve
User: lezhu

Document Information

Operator: lezhu
Run Date: Tuesday, March 15, 2016 15:06:51
Last Modified: Wednesday, March 16, 2016 14:39:33
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
SDS v1.4

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,50.0 °C,2:00,Auto,,
2,1,95.0 °C,10:00,Auto,,
3,40,95.0 °C,0:15,Auto,,
,,60.0 °C,1:00,Auto,,
Standard 7300 Mode
Data Collection :  Stage 3 Step 2
PCR Volume: 15 µL,

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,User Defined #1,User Defined #2,User Defined #3
A1,Si1_del_M1,DNAHJ,Unknown,26.4006,,,,,,
A2,Si1_del_M1,Sir2a,Unknown,37.4237,,,,,,
A3,Si1_del_M1,GAPDHa,Unknown,17.2167,,,,,,
A4,Si1_del_M2,DNAHJ,Unknown,27.7631,,,,,,
A5,Si1_del_M2,Sir2a,Unknown,35.2442,,,,,,
A6,Si1_del_M2,GAPDHa,Unknown,18.2283,,,,,,
A7,Si1_del_F1,DNAHJ,Unknown,27.7638,,,,,,
A8,Si1_del_F1,Sir2a,Unknown,35.1672,,,,,,
A9,Si1_del_F1,GAPDHa,Unknown,18.4872,,,,,,
A10,Si1_del_F2,DNAHJ,Unknown,27.17,,,,,,
A11,Si1_del_F2,Sir2a,Unknown,26.9509,,,,,,
A12,Si1_del_F2,GAPDHa,Unknown,17.7851,,,,,,
B1,SM21_del_M1,DNAHJ,Unknown,28.7472,,,,,,
B2,SM21_del_M1,Sir2a,Unknown,34.2638,,,,,,
B3,SM21_del_M1,GAPDHa,Unknown,18.5518,,,,,,
B4,SM21_del_M2,DNAHJ,Unknown,26.3556,,,,,,
B5,SM21_del_M2,Sir2a,Unknown,Undetermined,,,,,,
B6,SM21_del_M2,GAPDHa,Unknown,17.391,,,,,,
B7,SM21_del_F1,DNAHJ,Unknown,26.8765,,,,,,
B8,SM21_del_F1,Sir2a,Unknown,33.0662,,,,,,
B9,SM21_del_F1,GAPDHa,Unknown,18.1463,,,,,,
B10,SM21_del_F2,DNAHJ,Unknown,27.9248,,,,,,
B11,SM21_del_F2,Sir2a,Unknown,33.213,,,,,,
B12,SM21_del_F2,GAPDHa,Unknown,18.4361,,,,,,
C1,ZW_del_M1,DNAHJ,Unknown,27.3442,,,,,,
C2,ZW_del_M1,Sir2a,Unknown,35.1747,,,,,,
C3,ZW_del_M1,GAPDHa,Unknown,16.9447,,,,,,
C4,ZW_del_M2,DNAHJ,Unknown,27.8568,,,,,,
C5,ZW_del_M2,Sir2a,Unknown,Undetermined,,,,,,
C6,ZW_del_M2,GAPDHa,Unknown,36.627,,,,,,
C7,ZW_del_F1,DNAHJ,Unknown,27.163,,,,,,
C8,ZW_del_F1,Sir2a,Unknown,35.1753,,,,,,
C9,ZW_del_F1,GAPDHa,Unknown,17.6116,,,,,,
C10,ZW_del_F2,DNAHJ,Unknown,28.031,,,,,,
C11,ZW_del_F2,Sir2a,Unknown,39.6514,,,,,,
C12,ZW_del_F2,GAPDHa,Unknown,17.6306,,,,,,
D1,OR_del_M1,DNAHJ,Unknown,29.2079,,,,,,
D2,OR_del_M1,Sir2a,Unknown,Undetermined,,,,,,
D3,OR_del_M1,GAPDHa,Unknown,18.2572,,,,,,
D4,OR_del_M2,DNAHJ,Unknown,27.3975,,,,,,
